                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.75551,                0.45766,                0.86524,                0.84966,                0.70116,                0.80415,                0.46564,                 1.4586,                 0.9521,                 1.1372,              0.0005612,              0.0005612,              0.0005612
                    111,                 0.7267,                0.44247,                 0.8543,                0.89751,                0.65414,                0.79852,                 0.4521,                  1.476,                0.93623,                 1.1557,               0.000548,               0.000548,               0.000548
                    112,                0.71408,                0.44495,                0.85543,                0.82281,                0.70677,                0.79931,                0.46342,                 1.4735,                0.89016,                  1.167,              0.0005348,              0.0005348,              0.0005348
                    113,                0.72386,                0.44278,                0.85736,                0.83457,                0.72068,                0.81009,                0.46612,                 1.4506,                 0.8865,                 1.1539,              0.0005216,              0.0005216,              0.0005216
                    114,                0.71915,                0.44006,                0.85964,                0.83452,                0.69549,                0.80614,                0.45898,                 1.4645,                0.95895,                 1.1466,              0.0005084,              0.0005084,              0.0005084
                    115,                0.72307,                0.44731,                0.85177,                0.86718,                0.67669,                0.79908,                0.45125,                 1.4705,                 1.0458,                 1.1468,              0.0004952,              0.0004952,              0.0004952
                    116,                0.70669,                0.43426,                0.85785,                0.85927,                0.68864,                0.80214,                 0.4494,                 1.4656,                0.99973,                 1.1407,               0.000482,               0.000482,               0.000482
                    117,                0.70442,                0.44311,                0.86219,                0.88215,                0.67536,                0.80819,                0.45495,                 1.4658,                0.97069,                 1.1486,              0.0004688,              0.0004688,              0.0004688
                    118,                0.71254,                0.43805,                0.85177,                0.82264,                0.71429,                0.79876,                0.45308,                 1.4876,                 0.9739,                 1.1572,              0.0004556,              0.0004556,              0.0004556
                    119,                0.67737,                 0.4211,                0.85042,                0.81824,                0.69386,                0.78822,                0.45061,                 1.4759,                0.96376,                 1.1425,              0.0004424,              0.0004424,              0.0004424
                    120,                0.67323,                0.42603,                 0.8435,                0.81528,                0.71053,                0.78935,                0.45091,                 1.4705,                0.95498,                 1.1428,              0.0004292,              0.0004292,              0.0004292
                    121,                 0.6984,                0.43178,                 0.8525,                0.86748,                0.68907,                0.80097,                0.46127,                 1.4689,                0.96432,                 1.1528,               0.000416,               0.000416,               0.000416
                    122,                0.68716,                0.43159,                0.85835,                 0.8186,                0.71805,                0.81737,                0.46939,                 1.4632,                0.95098,                 1.1515,              0.0004028,              0.0004028,              0.0004028
                    123,                0.68025,                0.41435,                0.83782,                0.86945,                0.67599,                0.81038,                0.46787,                 1.4463,                0.95963,                 1.1467,              0.0003896,              0.0003896,              0.0003896
                    124,                0.73414,                0.44327,                0.86283,                0.80014,                0.71429,                0.80387,                 0.4663,                   1.47,                0.94385,                 1.1502,              0.0003764,              0.0003764,              0.0003764
                    125,                0.69295,                0.41822,                0.85425,                0.79668,                0.72181,                0.80679,                 0.4637,                 1.4829,                0.94813,                 1.1554,              0.0003632,              0.0003632,              0.0003632
                    126,                0.66298,                0.40894,                0.84203,                0.83664,                0.71053,                0.81289,                0.46212,                 1.4797,                0.94995,                 1.1549,                0.00035,                0.00035,                0.00035
                    127,                0.68089,                0.42231,                0.84629,                0.83871,                0.72932,                0.81502,                0.46004,                 1.4609,                0.95135,                 1.1477,              0.0003368,              0.0003368,              0.0003368
                    128,                 0.6598,                0.42443,                0.84511,                0.84114,                0.71053,                 0.8119,                0.45603,                  1.463,                0.93384,                 1.1469,              0.0003236,              0.0003236,              0.0003236
                    129,                0.69968,                0.43471,                0.84534,                0.83757,                0.71728,                0.80841,                0.46592,                 1.4662,                0.95769,                  1.148,              0.0003104,              0.0003104,              0.0003104
                    130,                0.69763,                0.43052,                0.85359,                0.83706,                0.68797,                0.80582,                0.46173,                 1.4644,                0.98538,                 1.1565,              0.0002972,              0.0002972,              0.0002972
                    131,                0.68636,                0.42306,                0.86101,                0.80742,                0.70929,                0.81063,                0.46156,                 1.4727,                0.99526,                 1.1567,               0.000284,               0.000284,               0.000284
                    132,                0.69989,                0.41495,                0.85266,                0.80791,                0.71805,                0.80641,                0.45992,                 1.4722,                 0.9928,                 1.1559,              0.0002708,              0.0002708,              0.0002708
                    133,                0.67948,                 0.4132,                0.84428,                0.79147,                0.72769,                0.81294,                0.46302,                 1.4673,                 1.0011,                 1.1496,              0.0002576,              0.0002576,              0.0002576
                    134,                0.65577,                 0.4079,                0.84211,                0.79764,                0.72556,                0.81814,                0.46626,                 1.4687,                0.97858,                 1.1503,              0.0002444,              0.0002444,              0.0002444
                    135,                0.64493,                0.40596,                0.84867,                0.78506,                0.74149,                0.81549,                0.46148,                 1.4763,                0.99255,                 1.1536,              0.0002312,              0.0002312,              0.0002312
                    136,                 0.6616,                0.41087,                 0.8455,                0.79337,                0.72932,                0.81053,                0.46448,                 1.4791,                 0.9888,                 1.1564,               0.000218,               0.000218,               0.000218
                    137,                0.64954,                0.40399,                0.84311,                0.79691,                 0.7218,                0.81087,                0.46423,                 1.4765,                0.98783,                  1.154,              0.0002048,              0.0002048,              0.0002048
                    138,                0.65982,                0.39852,                0.84581,                0.80619,                0.72556,                0.81279,                 0.4671,                  1.462,                0.99247,                 1.1473,              0.0001916,              0.0001916,              0.0001916
                    139,                0.67582,                0.41566,                0.84299,                0.83984,                0.69549,                0.80718,                0.46881,                 1.4635,                0.97383,                 1.1525,              0.0001784,              0.0001784,              0.0001784
                    140,                0.65613,                0.40992,                0.84127,                0.88347,                0.68404,                0.82055,                0.46715,                 1.4611,                0.94986,                 1.1517,              0.0001652,              0.0001652,              0.0001652
                    141,                0.65127,                0.39113,                0.83287,                0.84242,                0.69549,                 0.8174,                0.46277,                  1.465,                0.95031,                 1.1529,               0.000152,               0.000152,               0.000152
                    142,                0.63485,                0.37413,                0.83724,                0.80447,                0.70677,                0.81109,                0.46286,                 1.4632,                0.96313,                 1.1566,              0.0001388,              0.0001388,              0.0001388
                    143,                0.62993,                0.36749,                0.83722,                0.80853,                0.69851,                0.80717,                0.46354,                 1.4614,                0.96165,                 1.1588,              0.0001256,              0.0001256,              0.0001256
                    144,                 0.6252,                0.37153,                  0.827,                0.82144,                0.68797,                0.81078,                0.46165,                 1.4686,                0.97936,                 1.1602,              0.0001124,              0.0001124,              0.0001124
                    145,                0.62202,                0.36908,                0.84232,                0.81279,                0.70185,                0.80937,                0.46004,                 1.4726,                0.97945,                 1.1616,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.59055,                0.35978,                0.83438,                0.80285,                0.70301,                0.80935,                0.46277,                 1.4697,                0.98284,                 1.1599,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.61591,                0.35826,                0.82801,                0.79543,                0.69925,                0.80914,                0.46359,                 1.4677,                 0.9835,                 1.1598,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.59606,                0.35924,                 0.8178,                0.78682,                0.72151,                0.81074,                0.46353,                 1.4655,                0.97902,                 1.1577,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                 0.6164,                0.37083,                0.83602,                0.78368,                0.72556,                0.81086,                0.46303,                 1.4649,                0.98943,                 1.1581,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.59391,                0.36636,                0.81878,                0.78715,                 0.7218,                0.80884,                0.46136,                 1.4693,                0.99376,                 1.1594,               3.32e-05,               3.32e-05,               3.32e-05
